"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Small","Stockholm","Stockholm","Sweden","6,5","70785","0,715117","99347,37","0,233509352",173,9999,16,"No"
"No","SMB Small","Kolding","Syddanmark","Denmark","1,8","0","0,014988","6505,73","0,064081971",595,9999,2,"No"
"No","SMB Small","København","Hovedstaden","Denmark","1,3","16653","1","5820,45","0,202075441",111,9999,2,"No"
"No","SMB Small","Gnosjö","Jönköping","Sweden","1,8","14220","0,105184","30898","0,055274451",13,9999,3,"No"
"No","SMB Small","Ikast-Brande","Midtjylland","Denmark","6,5","62335","0,119656","68789,22","0,112105938",1,9999,18,"No"
"No","Corporate","Jyväskylä","Keski-Suomi","Finland","30","0","0,251456","41923,68","0,195253613",543,9999,4,"No"
"No","SMB Small","Asker","Akershus","Norway","30","205500","0","1693,09","0,170333532",236,9999,1,"No"
"No","SMB Small","Vara","Västra Götaland","Sweden","1,3","15249","0,168641","23232,71","0,065693154",231,9999,6,"No"
"No","SMB Small","Nacka","Stockholm","Sweden","1,8","0","0,111123","8819","0,069100805",581,9999,2,"No"
"No","SMB Large","Rebild","Nordjylland","Denmark","13,4","171654","0,109225","15569,11","0,057558203",330,9999,1,"No"
"Yes","Public","Oslo","Oslo","Norway","1569,8","19267370","0","14352,81","0,096676539",347,9999,1,"No"
"No","SMB Small","Spitsbergen","Svalbard","Norway","-1","0","0,584818","2204,36","0,354579107",608,9999,2,"No"
"No","SMB Small","Skinnskatteberg","Västmanland","Sweden","1,8","0","0,164397","6758","0,093119266",610,9999,3,"No"
"No","SMB Small","Kalmar","Kalmar","Sweden","1,8","39708","0,097221","247138,9","0,117659624",15,9999,13,"No"
"No","SMB Small","Luleå","Norrbotten","Sweden","1,8","15102","0,281325","3743","0,148784398",265,9999,2,"No"
"No","SMB Small","Färgelanda","Västra Götaland","Sweden","1,8","19602","0,019482","30745,76","0,063712525",77,9999,3,"No"
"Yes","SMB Large","København","Hovedstaden","Denmark","19,9","241586","0,084951","19978,35","0,091174697",279,9999,4,"No"
"No","SMB Mid","Borås","Västra Götaland","Sweden","13,4","89512","0,332093","16697,1","0,259907409",61,9999,10,"No"
"No","Corporate","Nittedal","Akershus","Norway","13,4","99562","0,415256","52610,21","0,175944555",40,9999,22,"No"
"No","SMB Small","Albertslund","Hovedstaden","Denmark","1,3","5905,9","0,152829","14256,35","0,112479702",305,9999,3,"No"
"No","SMB Mid","Göteborg","Västra Götaland","Sweden","56,8","621508","0,220557","159371,07","0,117909731",13,9999,57,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","14157","0","1139","0,039508341",190,190,1,"Yes"
"No","SMB Small","Silkeborg","Midtjylland","Denmark","1,8","0","1","3478,44","0,16718414",406,9999,1,"No"
"No","SMB Mid","Göteborg","Västra Götaland","Sweden","30","200400","0,22323","61241,76","0,117628723",287,704,16,"Yes"
"No","SMB Small","Aabenraa","Syddanmark","Denmark","13,4","128506","0,019823","8911,34","0,061830207",96,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","6,5","70785","0,598139","16665","0,250573657",27,9999,8,"No"
"No","SMB Small","Sollefteå","Västernorrland","Sweden","13,4","112426","0,317464","97362,12","0,134286825",223,9999,20,"No"
"No","SMB Small","Älvsbyn","Norrbotten","Sweden","30","326700","0,547607","88357","0,178497799",244,404,12,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","0","0","2599","0,018603309",670,9999,3,"No"
"No","SMB Small","Århus","Midtjylland","Denmark","-1","0","0,305547","9985,89","0,088281565",433,9999,3,"No"
"No","SMB Mid","Kungsbacka","Halland","Sweden","30","351900","0,822587","8440,68","0,026994271",34,9999,9,"No"
"No","SMB Small","København","Hovedstaden","Denmark","1,8","20767,54","0,075508","246190,16","0,132387541",68,251,19,"Yes"
"No","Public","Sorø","Sjælland","Denmark","16641,3","170224317","0,046846","60567,13","0,127049111",182,272,10,"Yes"
"Yes","SMB Large","Bergen","Hordaland","Norway","1,3","0","0,095406","26660,1","0,119639461",664,9999,4,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","11687","0,027022","21241,84","0,081849312",11,9999,3,"No"
"No","SMB Small","Lerum","Västra Götaland","Sweden","1,3","13138,77","0,480739","75392,2","0,172801696",19,9999,8,"No"
"No","SMB Small","Gävle","Gävleborg","Sweden","6,5","70785","0,1385","78050,17","0,096384031",348,9999,10,"No"
"No","SMB Small","Odense","Syddanmark","Denmark","1,3","16653","0,112995","18115,8","0,120791243",56,9999,6,"No"
"No","SMB Small","Aalborg","Nordjylland","Denmark","1,8","18468","0","3697,51","0,119423612",351,9999,1,"No"
"No","SMB Small","Ringsted","Sjælland","Denmark","1,8","0","0,162387","1693,79","0,111170806",624,624,2,"Yes"
"No","SMB Small","Århus","Midtjylland","Denmark","1,3","0","1","156,44","0,301904884",523,9999,1,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","-1","0","0,08202","1524","0,191850394",229,9999,1,"No"
